id	ER	ER_slope	OGsize	numberTMs	TMidentity
A6NL99	1.00767994396088	0.0011457516058296627	14	8	48.8304093567251
A6NLU5	0.972710923494291	-0.0013219761771039423	23	1	7.36842105263158
A6NLX4	1.03956516055089	0.004922324618614962	11	1	14.2857142857143
A6NM03	0.999769289714757	-0.0009439621049362278	20	7	46.5189873417722
A6NM45	1.02083392226279	0.003642985290374461	20	4	38.1818181818182
A6NM62	1.05811355624339	0.011378269998088946	14	1	1.68404170008019
A6NM76	1.02598691016318	0.003189402924970158	21	7	47.7564102564103
A6NMB1	0.67512263668446	-0.06385791925351768	6	1	4.36590436590437
A6NMD0	1.06621672747499	0.0154581486627723	15	2	18.4210526315789
A6NML5	1.02223430672021	0.005429009118325434	7	5	54.1237113402062
A6NMS3	1.01014748724697	0.001898128792938019	12	7	45.7943925233645
A6NMS7	0.990441451841337	-0.0021723328012938146	24	1	1.23529411764706
A6NMU1	1.03292926507212	0.013296484849829539	2	7	48.3552631578947
A6NMZ5	0.836900900255504		0	7	47.2668810289389
A6NNB3	1.04930786029148	0.0072600243812416185	18	2	31.8181818181818
A6NNC1	1.09570639210644	0.019024563308963176	1	1	2.34113712374582
A6NND4	1.1107953430027	0.01564957222943183	37	7	45.9375
A6NNE9	1.07476750819832	0.012481297304215416	17	2	10.4477611940298
A6NNN8	1.01890433829874	0.006050641977301146	15	11	53.5632183908046
A6PVL3	0.936527785588682	-0.0018963605215147874	8	2	33.8709677419355
A6QL63	1.01458695333946	0.007113461064481982	60	1	1.90217391304348
A7MBM2	0.997387271756897	0.0010658339580919443	16	12	17.9871520342612
A8K4G0	1.03618225350069	0.008503073129655137	5	1	10.4477611940298
A8MPY1	1.00131480690292	0.0008348475485396769	18	4	17.9871520342612
A8MTT3	0.93357890377431	-0.027635135143339023	5	1	22.5
A8MUP6	0.965040600835145	0.003979590471175988	10	4	28.6689419795222
A8MV81	0.991605432752925	-0.0010405919453621518	42	2	43.298969072165
A8MVS5	1.04715218501281	0.006360914769108899	8	1	9.1304347826087
A8MVW0	1.06001260430362	0.010828355298538163	38	1	2.54237288135593
A8MVW5	1.05558193033367	0.008339333232437067	98	1	4.54545454545455
A8MWV9	1.05720623489176	0.010017329267675866	14	1	15.1079136690647
A8MWY0	1.05337647931305	0.013471581267361608	58	1	2.04081632653061
A8MXE2	1.00854054587623	0.002153920818992331	13	1	5.69105691056911
A8MXK1	0.98486125214617	-0.0026098527001643494	36	1	10.5
A8MXV6	0.895008605851979	-0.02107327268256704	1	1	7.47330960854092
A8MYB1	1.02487638240375	0.0027718594108370282	5	1	7.49185667752443
A8MYU2	1.03517657906926	0.005260123062890581	19	7	12.7937336814621
A8MZ97	1.00695898681228	0.0023104858877979672	10	1	10.8247422680412
A9Z1Z3	0.961747565716642	-0.017032423507444234	15	1	1.17056856187291
B0FP48	1.0299264437577	0.005846467970721268	15	1	7.98479087452472
B0YJ81	1.02894659378944	0.012945726612982869	26	6	36.8055555555556
B1AL88	1.0577479797675	0.010730329236816442	29	2	9.1703056768559
B2RTY4	1.06325485373152	0.009827906432446331	85	1	0.824175824175824
B2RUZ4	1.04045475937659	0.008941106698483128	15	1	26.9230769230769
B2RXF0	1.0516905272225	0.012445539039538552	12	6	33.1578947368421
B3SHH9	0.884788115893713	0.0041108204632736185	14	4	37.6681614349776
B4DJY2	1.06986759719225	0.011495537472084861	52	2	38.5321100917431
B4DS77	1.05093187806727	0.012099634936531553	82	1	4.95283018867925
B6A8C7	1.01364437243546	0.0048073566837868375	8	1	7.74907749077491
B6SEH8	1.01640091618425	0.0014719277548564842	28	1	4.40251572327044
B6SEH9	0.976511299616995	-0.005644674069179427	21	2	7.85046728971963
B7U540	1.02717632460545	0.008170971471987096	111	2	9.69976905311778
B7Z8K6	0.997505898213684	-0.00381597573306433	5	1	15.0326797385621
B7ZAQ6	1.0101855882265	0.006141405300271406	122	9	41.5384615384615
B8ZZ34	1.0485653609208	0.01134455766355798	7	1	5.2896725440806
B9EJG8	1.02905442954686	0.006974591506719305	137	6	50.6024096385542
C9JDP6	1.01557396662657	0.003204565627700286	8	4	36.6812227074236
C9JG80	1.02436508021911	0.008085573517232159	7	1	2.19683655536028
C9JH25	1.0483414350893	0.010712741190892877	9	5	11.6796440489433
C9JI98	1.10626368287121	0.017917942560023596	12	2	23.8636363636364
C9JQI7	1.05113723351523	0.01153794017112706	12	2	6.39269406392694
C9JVW0	1.06052749303375	0.012736881045535607	10	1	14.7887323943662
D3W0D1	0.961370606446355	-0.00473726542779397	18	1	10.1449275362319
E0CX11	1.05542183897142	0.008303661587225713	67	1	36.1702127659575
E2RYF6	1.00708179710887	0.023174276602912647	32	1	1.1844331641286
E5RHQ5	0.993791705646389	-0.0024173369783508313	5	1	2.15331610680448
E7ERA6	0.979698283859084	-0.003999526509831658	12	1	8.43373493975904
E9PQX1	1.07052944232933	0.024745253149074706	10	3	54.3103448275862
F2Z333	1.05053751534287	0.021000347526938853	6	1	9.29203539823009
F5H4A9	1.07606068175311	0.013447221653486358	21	1	8.50202429149797
F7VJQ1	1.01960784313726	0.014313725490196168	1	1	28.7671232876712
G3V0H7	0.980193209475425	-0.0012765202309506325	8	11	36.09375
H0YL14	1.01321749123847	0.003815928429084206	64	2	30.2158273381295
H3BR10	0.975907081004004	-0.0074341878942388055	4	2	39.2523364485981
H3BS89	1.03728602335366	0.014108111620003937	50	3	21.4285714285714
H3BV60	1.03472187560756	0.011569881062151365	12	1	6.64556962025316
H7C241	1.02832814434909	0.008624307535080289	5	4	39.2523364485981
H7C350	1.01370437435889	0.0020446144050940552	8	1	4.22885572139304
I3L273	1.05364762956182	0.007463052629942378	10	1	4.05405405405405
K7EJ46	1.04587155963303	0.012385321100917399	1	1	15.5555555555556
L0R6Q1	1.05445465115483	0.008393345660759333	26	1	22.3300970873786
M0QZC1	1.05927937522756	0.011536634577089571	9	1	6.38297872340426
O00124	0.776923175474865	-0.00040615952468030063	14	2	15.5555555555556
O00144	1.03920610119845	0.01137850849113549	52	7	24.8730964467005
O00155	1.02780579283876	0.008366717376564777	14	7	40.4432132963989
O00168	0.967757724457395	-0.003622411064229803	23	1	22.8260869565217
O00180	1.03824541956859	0.006112632922970285	81	4	26.7857142857143
O00198	1.02463926332479	0.010450623298605086	20	1	20.8791208791209
